[PORT] Open: demo.testfire.net:25
[PORT] Open: demo.testfire.net:53
[PORT] Open: demo.testfire.net:80
[PORT] Open: demo.testfire.net:443
[PORT] Open: demo.testfire.net:8080
[FORM XSS] Possible: http://demo.testfire.net/admin/index.jsp?content=personal_checking.htm
[FORM XSS] Possible: http://demo.testfire.net/survey_questions.jsp?step=a
[FORM XSS] Possible: http://demo.testfire.net/admin/index.jsp?content=personal_checking.htm
[FORM XSS] Possible: http://demo.testfire.net/index.jsp?content=inside_jobs.htm&job=OperationalRiskManager:RiskManagement
[FORM XSS] Possible: http://demo.testfire.net/index.jsp?content=inside_jobs.htm&job=OperationalRiskManager:RiskManagement
[FORM XSS] Possible: http://demo.testfire.net/index.jsp?content=business_other.htm
[FORM XSS] Possible: http://demo.testfire.net/index.jsp?content=business_other.htm
[FORM XSS] Possible: http://demo.testfire.net/index.jsp?content=personal_savings.htm
[FORM XSS] Possible: http://demo.testfire.net/index.jsp?content=personal_savings.htm
[FORM XSS] Possible: http://demo.testfire.net/my%20documents/JohnSmith/Bank%20Site%20Documents/cgi.exe
[FORM XSS] Possible: http://demo.testfire.net
[FORM XSS] Possible: http://demo.testfire.net/my%20documents/JohnSmith/Bank%20Site%20Documents/cgi.exe
[FORM XSS] Possible: http://demo.testfire.net/admin/index.jsp?content=inside_contact.htm
[FORM XSS] Possible: http://demo.testfire.net
[FORM XSS] Possible: http://demo.testfire.net/admin/index.jsp?content=inside_contact.htm
[FORM XSS] Possible: http://demo.testfire.net/admin/index.jsp?content=business_insurance.htm
[FORM XSS] Possible: http://demo.testfire.net/admin/index.jsp?content=business_insurance.htm
[FORM XSS] Possible: http://demo.testfire.net/Documents/JohnSmith/index.jsp?content=business_retirement.htm
[FORM XSS] Possible: http://demo.testfire.net/Documents/JohnSmith/index.jsp?content=business_retirement.htm
[FORM XSS] Possible: http://demo.testfire.net/index.jsp?content=inside.htm
[FORM XSS] Possible: http://demo.testfire.net/index.jsp?content=inside.htm
[FORM XSS] Possible: http://demo.testfire.net/index.jsp?content=privacy.htm
[FORM XSS] Possible: http://demo.testfire.net/index.jsp?content=privacy.htm
[FORM XSS] Possible: http://demo.testfire.net/index.jsp
[FORM XSS] Possible: http://demo.testfire.net/index.jsp
[FORM XSS] Possible: http://demo.testfire.net/index.jsp?content=pr/20060518.htm
[FORM XSS] Possible: http://demo.testfire.net/index.jsp?content=pr/20060518.htm
[FORM XSS] Possible: http://demo.testfire.net/admin/index.jsp?content=personal.htm
[FORM XSS] Possible: http://demo.testfire.net/admin/index.jsp?content=business_lending.htm
[FORM XSS] Possible: http://demo.testfire.net/admin/index.jsp?content=inside_press.htm
[FORM XSS] Possible: http://demo.testfire.net/admin/index.jsp?content=business_lending.htm
[FORM XSS] Possible: http://demo.testfire.net/admin/index.jsp?content=personal.htm
